********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : AutoInstall                                                                 *
* Commserver : cms01039c1us02:cms01039c1us02.cvmscloud.commvault.com                       *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4584  1b24  06/30 06:53:56 ### LocalAUJobReqHandler Received Request to RebootClientIfNeeded
4584  1b24  06/30 06:53:59 ### [LocalSPDataReqHandler]() - Check for required space to install updates successful
4584  268   06/30 06:53:59 ### LocalAUJobReqHandler Received CacheOpReq request
4584  268   06/30 06:53:59 ### ProcessNewCacheRequest Cache operation request is [<?xml version="1.0" encoding="UTF-8" standalone="no" ?><UpdatePatches_CacheOpReq nJobId="1087734" nOpcode="5"><client bsId="3" cachePath="C:\Program Files\Metallic\ContentStore\CVMedia\11.0.0\Windows" clientId="8426" mangledClientname="SanBGW*sanbgw*8400" osType="3" relId="16"><spToBeInstalledOnClient><spVersion Major="2801" Minor="0" ReleaseId="16" RevisionID="1059" TransactionId="4268002"/><cumulativeUpdatePackVersion Number="21" TransactionId="0"/></spToBeInstalledOnClient></client><RelList RelId="16"><RelFileList OSId="3"><PkgIds val="730"/><PkgIds val="1"/><PkgIds val="51"/><PkgIds val="54"/><PkgIds val="453"/><PkgIds val="455"/><PkgIds val="702"/><PkgIds val="713"/></RelFileList></RelList></UpdatePatches_CacheOpReq>]
4584  268   06/30 06:53:59 1087734 ProcessNewCacheRequest Cache operation type in request is [GetCacheInfoNew]
4584  268   06/30 06:53:59 1087734 ProcessNewGetCacheInfoReq() - Getting cache information for client [SanBGW*sanbgw*8400] from [C:\Program Files\Metallic\ContentStore\CVMedia\11.0.0\Windows] for the requested release and OS
4584  268   06/30 06:53:59 ####### GetDirectorySize() - Cannot stat on file [C:\Program Files\Metallic\ContentStore\\CVMedia\11.0.0]
4584  268   06/30 06:53:59 1087734 [CalculateCheckSumForCacheFiles] Cache does not contain updates for release [11.0.0] in [C:\Program Files\Metallic\ContentStore\\CVMedia\11.0.0]
4584  268   06/30 06:53:59 1087734 ProcessNewGetCacheInfoReq Appliance cache path [C:\Program Files\Metallic\ContentStore\CVMedia\11.0.0\Windows\CVAppliance] is empty or does not exists
4584  268   06/30 06:53:59 1087734 ProcessNewGetCacheInfoReq() - Successfully computed cache information for requested release and os.
