********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : BlrSvc                                                                      *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

6816  1abc  06/30 06:44:14 ### 
6816  1abc  06/30 06:44:14 ### 
6816  1abc  06/30 06:44:14 ### -----------------------------------------------------
6816  1abc  06/30 06:44:14 ### -------------------- BLR STARTED --------------------
6816  1abc  06/30 06:44:14 ### -----------------------------------------------------
6816  1ac4  06/30 06:44:14 ### Successfully loaded BlrSvcLib.dll
6816  1acc  06/30 06:44:14 ### BlrPerf::init() - high_resolution_clock=1/1000000000
6816  1acc  06/30 06:44:14 ### BlrPerf::init() - steady_clock=1/1000000000
6816  1acc  06/30 06:44:14 ### BlrPerf::init() - system_clock=1/10000000
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nEnableJrnComp is not set. Defaulting to 1
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nEnableNetComp is not set. Defaulting to 0
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nEnableNetEnc is not set. Defaulting to 0
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nPerfLogIntervalSecs is not set. Defaulting to 60
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nPerfDiagIntervalSecs is not set. Defaulting to 600
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nPerfDiagDurationSecs is not set. Defaulting to 30
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nAuthTimeoutSecs is not set. Defaulting to 120
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nCtrlTimeoutSecs is not set. Defaulting to 600
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nConnectIntervalSecs is not set. Defaulting to 60
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nKeepAliveIntervalSecs is not set. Defaulting to 600
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nMinRPIntervalSecs is not set. Defaulting to 60
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nMaxRPIntervalSecs is not set. Defaulting to 1200
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nVmStatsPushIntervalSecs is not set. Defaulting to 30
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/sConfigDir is not set. Defaulting to C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\BLR
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/sCacheDir is not set. Defaulting to C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\BLR
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nMaxCacheDiskSizeMB is not set. Defaulting to 8192
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nMaxCacheMemorySizeMB is not set. Defaulting to 300
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nMaxQueueSizeMB is not set. Defaulting to 256
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nAllowBuiltinCerts is not set. Defaulting to 0
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nDumpSectorMD5 is not set. Defaulting to 0
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nRpStoreCacheSizeMB is not set. Defaulting to 1024
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nMaxRpStoreSizeMB is not set. Defaulting to 0
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nSSBlockSize is not set. Defaulting to 262144
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nManualDrvInstall is not set. Defaulting to 0
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nThrottleWrites is not set. Defaulting to 1
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nEnableCrosschecks is not set. Defaulting to 0
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nOptimizeCache is not set. Defaulting to 1
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nForcePeakTime is not set. Defaulting to 0
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nForceOffPeakTime is not set. Defaulting to 0
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nWinFsH2oThreadCount is not set. Defaulting to 1
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nWinFsHasherThreadCount is not set. Defaulting to 4
6816  1acc  06/30 06:44:14 ### BlrReg() - BLR/nPairStatsIntervalSecs is not set. Defaulting to 300
6816  1acc  06/30 06:44:14 ### BlrPerf::init() - Initializing perfomance counters.
6816  1acc  06/30 06:44:14 ### BlrPerf::init() - Will log results every 60 secs
6816  1acc  06/30 06:44:14 ### BlrSvc::init() - Refreshing BLR Config from CS
6816  1acc  06/30 06:44:14 ### isCCSDbEnabled() - Use CCSDb Enabled [0] IsCloudLaptop [0] IsFSCoreLaptop [0]
6816  1acc  06/30 06:44:14 ### AppMgrSessionPoolSingleton::getSessionPoolInstance() - Client or server name is empty. Cant create session instance
6816  1acc  06/30 06:44:14 ### [ClientSessionWrapper::connectToCS] Connnecting to [AppManager network access] service on CommServer.
6816  1acc  06/30 06:44:14 ### [ClientSessionWrapper::connectToCS] Error connecting to svc [AppManager network access] on CS. [0x80070057:{CCvNetwork::Attach_RemoteService(1770)} + {CCvNetwork::Attach_RemoteService(1739)} + {CCvNetwork::LookupRegisteredPorts(4852)} + {CCvNetwork::LookupRegisteredPorts_Common(4925)} + {CCvNetwork::DemangleHostNameToComps(4998)/W32.87.(The parameter is incorrect. (ERROR_INVALID_PARAMETER.87))-Invalid mangled host name:[**8400*8402] passed. Please use mangled host name.}]
6816  1acc  06/30 06:44:14 ### ClientInterfaceNet::lookup() - [ClientSessionWrapper::connectToCS] Error connecting to svc [AppManager network access] on CS. [0x80070057:{CCvNetwork::Attach_RemoteService(1770)} + {CCvNetwork::Attach_RemoteService(1739)} + {CCvNetwork::LookupRegisteredPorts(4852)} + {CCvNetwork::LookupRegisteredPorts_Common(4925)} + {CCvNetwork::DemangleHostNameToComps(4998)/W32.87.(The parameter is incorrect. (ERROR_INVALID_PARAMETER.87))-Invalid mangled host name:[**8400*8402] passed. Please use mangled host name.}]
6816  1acc  06/30 06:44:14 ### AppMgrSessionPoolSingleton::getSessionPoolInstance() - Client or server name is empty. Cant create session instance
6816  1acc  06/30 06:44:14 ### [ClientSessionWrapper::connectToCS] Connnecting to [AppManager network access] service on CommServer.
6816  1acc  06/30 06:44:14 ### [ClientSessionWrapper::connectToCS] Error connecting to svc [AppManager network access] on CS. [0x80070057:{CCvNetwork::Attach_RemoteService(1770)} + {CCvNetwork::Attach_RemoteService(1739)} + {CCvNetwork::LookupRegisteredPorts(4852)} + {CCvNetwork::LookupRegisteredPorts_Common(4925)} + {CCvNetwork::DemangleHostNameToComps(4998)/W32.87.(The parameter is incorrect. (ERROR_INVALID_PARAMETER.87))-Invalid mangled host name:[**8400*8402] passed. Please use mangled host name.}]
6816  1acc  06/30 06:44:14 ### ClientInterfaceNet::lookup() - [ClientSessionWrapper::connectToCS] Error connecting to svc [AppManager network access] on CS. [0x80070057:{CCvNetwork::Attach_RemoteService(1770)} + {CCvNetwork::Attach_RemoteService(1739)} + {CCvNetwork::LookupRegisteredPorts(4852)} + {CCvNetwork::LookupRegisteredPorts_Common(4925)} + {CCvNetwork::DemangleHostNameToComps(4998)/W32.87.(The parameter is incorrect. (ERROR_INVALID_PARAMETER.87))-Invalid mangled host name:[**8400*8402] passed. Please use mangled host name.}]
6816  1acc  06/30 06:44:14 ### BlrSvc::init() - 0xEDDD0001:{BlrSvc::loadAllPairsFromDB(88)/Int.1.0x1-Couldn't lookup client ID of sanbgw}
6816  1acc  06/30 06:44:14 ### Initialize         57  Initializing the RpStoreManager. CacheSize [1073741824] bytes
6816  1acc  06/30 06:44:14 ### Thread pool monitor interval [300] seconds, Refresh interval [60] seconds
6816  1acc  06/30 06:44:14 ### Initialize         60  Cluster data blocks will be allocated in units of [32 KB]
6816  1acc  06/30 06:44:14 ### Initialize         65  RpStoreWriterThreads set to 1
6816  1acc  06/30 06:44:14 ### Initialize         92  Successfully initialized the RpStoreManager.
6816  1acc  06/30 06:44:14 ### CVMDiskInfo::GetVDDKInstallPath() - Using vStorage VDDK from [C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602] version [6.0.2 build-3566099]
6816  1acc  06/30 06:44:14 ### CVMDiskInfo::LoadVDDKLibrary() - Successfully loaded VDDK Lib (libeay32.dll) from C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602\bin\libeay32.dll
6816  1acc  06/30 06:44:14 ### CVMDiskInfo::LoadVDDKLibrary() - Successfully loaded VDDK Lib (ssleay32.dll) from C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602\bin\ssleay32.dll
6816  1acc  06/30 06:44:14 ### CVMDiskInfo::LoadVDDKLibrary() - Successfully loaded VDDK Lib (libldap_r.dll) from C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602\bin\libldap_r.dll
6816  1acc  06/30 06:44:14 ### CVMDiskInfo::LoadVDDKLibrary() - Successfully loaded VDDK Lib (libcurl.dll) from C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602\bin\libcurl.dll
6816  1acc  06/30 06:44:14 ### CCvNetworkServer::CCvNetworkServer() - CvNetworkServer is using Asynchronous IO model
6816  1acc  06/30 06:44:14 ### AppMgrSessionPoolSingleton::getSessionPoolInstance() - Client or server name is empty. Cant create session instance
6816  1acc  06/30 06:44:14 ### [ClientSessionWrapper::connectToCS] Connnecting to [AppManager network access] service on CommServer.
6816  1acc  06/30 06:44:14 ### [ClientSessionWrapper::connectToCS] Error connecting to svc [AppManager network access] on CS. [0x80070057:{CCvNetwork::Attach_RemoteService(1770)} + {CCvNetwork::Attach_RemoteService(1739)} + {CCvNetwork::LookupRegisteredPorts(4852)} + {CCvNetwork::LookupRegisteredPorts_Common(4925)} + {CCvNetwork::DemangleHostNameToComps(4998)/W32.87.(The parameter is incorrect. (ERROR_INVALID_PARAMETER.87))-Invalid mangled host name:[**8400*8402] passed. Please use mangled host name.}]
6816  1acc  06/30 06:44:14 ### ClientInterfaceNet::lookup() - [ClientSessionWrapper::connectToCS] Error connecting to svc [AppManager network access] on CS. [0x80070057:{CCvNetwork::Attach_RemoteService(1770)} + {CCvNetwork::Attach_RemoteService(1739)} + {CCvNetwork::LookupRegisteredPorts(4852)} + {CCvNetwork::LookupRegisteredPorts_Common(4925)} + {CCvNetwork::DemangleHostNameToComps(4998)/W32.87.(The parameter is incorrect. (ERROR_INVALID_PARAMETER.87))-Invalid mangled host name:[**8400*8402] passed. Please use mangled host name.}]
6816  1acc  06/30 06:44:14 ### AppMgrSessionPoolSingleton::getSessionPoolInstance() - Client or server name is empty. Cant create session instance
6816  1acc  06/30 06:44:15 ### [ClientSessionWrapper::connectToCS] Connnecting to [AppManager network access] service on CommServer.
6816  1acc  06/30 06:44:15 ### [ClientSessionWrapper::connectToCS] Error connecting to svc [AppManager network access] on CS. [0x80070057:{CCvNetwork::Attach_RemoteService(1770)} + {CCvNetwork::Attach_RemoteService(1739)} + {CCvNetwork::LookupRegisteredPorts(4852)} + {CCvNetwork::LookupRegisteredPorts_Common(4925)} + {CCvNetwork::DemangleHostNameToComps(4998)/W32.87.(The parameter is incorrect. (ERROR_INVALID_PARAMETER.87))-Invalid mangled host name:[**8400*8402] passed. Please use mangled host name.}]
6816  1acc  06/30 06:44:15 ### ClientInterfaceNet::lookup() - [ClientSessionWrapper::connectToCS] Error connecting to svc [AppManager network access] on CS. [0x80070057:{CCvNetwork::Attach_RemoteService(1770)} + {CCvNetwork::Attach_RemoteService(1739)} + {CCvNetwork::LookupRegisteredPorts(4852)} + {CCvNetwork::LookupRegisteredPorts_Common(4925)} + {CCvNetwork::DemangleHostNameToComps(4998)/W32.87.(The parameter is incorrect. (ERROR_INVALID_PARAMETER.87))-Invalid mangled host name:[**8400*8402] passed. Please use mangled host name.}]
6816  1af8  06/30 06:44:15 ### CBLRVMBootManager::_CleanUpExpiredVMs() - VM Boot Manager's cleanup thread started.
6816  1afc  06/30 06:44:15 ### Starting boot "blr_gui_msgs_client" server
6816  1acc  06/30 06:44:15 ### Successfully started GUI Msg Helper
6816  1acc  06/30 06:44:15 ### BlrTailSvc::init() - Initializing
6816  1afc  06/30 06:44:15 ### CCvIOCPServer::Start() - Launching 2 IOCP worker threads. To override, use session/BlrSvc_IOCPThreads DWORD registry entry
6816  1afc  06/30 06:44:15 ### CCvNetworkServer::SelectData() - No port is specifed by user. Check if saved port can be reused
6816  1acc  06/30 06:44:15 ### BlrTailSvc::createSockets() - Successfully bound IPv4 replication socket to 0.0.0.0:50781
6816  1acc  06/30 06:44:15 ### BlrCtrlSvc::init() - Initializing
6816  1acc  06/30 06:44:15 ### BlrCtrlSvc::createSockets() - Successfully bound IPv4 control server socket to 0.0.0.0:50785
