********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : CVMALockMsg                                                                 *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

6396  19fc  06/30 06:44:13 ### CVMAService::lockNICRequests() - Thread Id = 19fc:cvmaservice.cpp:3283: BEFORE NICREQLOCK (last locking thread=0)
6396  19fc  06/30 06:44:13 ### CVMAService::lockNICRequests() - Thread Id = 19fc:cvmaservice.cpp:3283: AFTER NICREQLOCK
6396  19e4  06/30 06:44:51 ### EvDebug::refreshDebugLevel() - Changing Debug level from 3 to 1
6396  19e4  06/30 06:44:51 ### CVMAService::lockMsgInst() - Thread Id = 19e4:cvmathreads.cpp:1576: BEFORE LOCKMSGINST (last locking thread=0)
6396  19e4  06/30 06:44:51 ### CVMAService::lockMsgInst() - Thread Id = 19e4:cvmathreads.cpp:1576: AFTER LOCKMSGINST
6396  19e4  06/30 06:44:51 ### CVMAService::unlockMsgInst() - Thread Id = 19e4:cvmathreads.cpp:1586: UNLOCKMSGINST
6396  19e4  06/30 06:45:22 ### CVMAService::lockMsgInst() - Thread Id = 19e4:cvmathreads.cpp:1795: BEFORE LOCKMSGINST (last locking thread=19e4)
6396  19e4  06/30 06:45:22 ### CVMAService::lockMsgInst() - Thread Id = 19e4:cvmathreads.cpp:1795: AFTER LOCKMSGINST
6396  19e4  06/30 06:45:23 ### CVMAService::unlockMsgInst() - Thread Id = 19e4:cvmathreads.cpp:1815: UNLOCKMSGINST
6396  19e4  06/30 06:46:23 ### CVMAService::lockMsgInst() - Thread Id = 19e4:cvmathreads.cpp:1795: BEFORE LOCKMSGINST (last locking thread=19e4)
6396  19e4  06/30 06:46:23 ### CVMAService::lockMsgInst() - Thread Id = 19e4:cvmathreads.cpp:1795: AFTER LOCKMSGINST
6396  19e4  06/30 06:46:23 ### CVMAService::unlockMsgInst() - Thread Id = 19e4:cvmathreads.cpp:1815: UNLOCKMSGINST
