********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : ClMgrS                                                                      *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

6704  1a70  06/30 06:44:14 ### 
6704  1a70  06/30 06:44:14 ### 
6704  1a70  06/30 06:44:14 ### ----------------------------------------------------
6704  1a70  06/30 06:44:14 ### ------------------ ClMgrS STARTED ------------------
6704  1a70  06/30 06:44:14 ### ----------------------------------------------------
6704  1a70  06/30 06:44:14 ### ClMgrS Started Successfully
6704  1a84  06/30 06:44:14 ### Initialize Recall service
6704  1a84  06/30 06:44:14 ### CFSDMConfigCache::GetRefreshTimeoutSeconds(475) - Refresh Config Timeout [30000000] seconds / [500000] minutes 
6704  1a84  06/30 06:44:14 ### CFSDMConfigCache::GetRefreshTimeoutSeconds(488) - Recall failure event interval [1800] seconds / [30] minutes.
6704  1a84  06/30 06:44:14 ### Recall service Initialized successfully
6704  1aac  06/30 06:44:14 ### CRecallServiceImpl::Start(396) - Anti chatter flag is ON, sleeping for 3 seconds...
6704  1aac  06/30 06:44:27 ### isCCSDbEnabled() - Use CCSDb Enabled [0] IsCloudLaptop [0] IsFSCoreLaptop [0]
6704  1aac  06/30 06:44:27 ### CCvNetwork::GetConnection() - Waiting until client certificates have been downloaded
6704  1aac  06/30 06:44:48 ### Cvcl::init() - CVCL: Running in FIPS Mode
6704  1aac  06/30 06:44:48 ### CRecallServiceImpl::Start(423) - Creating Recall Interfaces...
6704  1aac  06/30 06:44:49 ### CVVMDetect::DetectHypervisor() - Local Hypervisor type: [VMware VM]
6704  1aac  06/30 06:44:49 ### CRecallServiceInterface_CVCBT::IsRequiredOnCurrentSetup() - Hyper-V role is not enabled on local host
6704  1aac  06/30 06:44:49 ### CRecallInterfaceFactory_Win::CreateInterfaces(97) - HyperV Change Block Tracking interface is not needed on this setup
6704  1aac  06/30 06:44:49 ### CRecallInterfaceFactory_Win::CreateInterfaces(104) - Socket interface is not required on this setup
6704  1aac  06/30 06:44:49 ### ::IsSharePointInstalled() - SP Package is not installed 
6704  1aac  06/30 06:44:49 ### CRecallInterfaceFactory_Win::CreateInterfaces(115) - Sharepoint interface is not needed on this setup
6704  1aac  06/30 06:44:49 ### CRecallInterfaceFactory_Win::CreateInterfaces(122) - Recovery point interface is not needed on this setup
6704  1aac  06/30 06:44:49 ### CRecallServiceInterface_Driver::IsRequiredOnCurrentSetup(1625) - HSM Driver service Not installed. Will operate in driverless mode
6704  1aac  06/30 06:44:49 ### CRecallInterfaceFactory_Win::CreateFPolicyInterface(63) - FS Recall Driver Interface is not needed on this setup
6704  1aac  06/30 06:44:49 ### CRecallInterfaceFactory_Win::CreateFPolicyInterface(65) - FS Recall Driver Interface is not found, disabling Cluster failover handler
6704  1aac  06/30 06:44:51 ### CRecallServiceInterface_Fpolicy::CRecallServiceInterface_Fpolicy(61) - Preparing FPolicy Recall interface
6704  1aac  06/30 06:44:51 ### GetFSDMAuditConfigFileName(318) - [Pipeline Cache] DMR is running in context of Process Name: ClMgrS.exe, PID: 6704
6704  1aac  06/30 06:44:51 ### FSDMFpolicyAuditCache::FSDMFpolicyAuditCache(367) - [Pipeline Cache] Pipeline Refresh Config file:C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\clmgrs_FSDMAuditConfig.cvf
6704  1aac  06/30 06:44:51 ### FSDMFpolicyManager::FSDMFpolicyManager(167) - FSDMFpolicyManager detected CMode ON
6704  1aac  06/30 06:44:51 ### FSDMFpolicyManager::Initialize(355) - EnableFPolicyAuditing is 0
6704  1aac  06/30 06:44:51 ### FSDMFpolicyManager::Initialize(365) - EnableOnlyFPolicyAuditing is 0
6704  1aac  06/30 06:44:51 ### FSDMFpolicyManager::MonitorShares(405) - Audit Cache empty. Nothing to monitor
6704  1aac  06/30 06:44:51 ### CRecallServiceImpl::Start(436) - Total [2] interfaces created
