********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : DLP                                                                         *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4584  1528  06/30 06:44:10 ### Opened Lock vol shared buffer. Opened [0], InstanceId [1]
4584  1528  06/30 06:44:10 ### CVDLPLockVolWorker::Init, Initialized CVDLP driver
4584  1528  06/30 06:44:10 ### GetDLPEnabledInstInfo: SubKeys found [2], Instance count on the machine [1]. DlpEnabledCount [MP:0, DR:0], MPInfo [0]
4584  1528  06/30 06:44:10 ### DLP (MP [0], DR Bkp [0], PlatType 6); LogLvl (Dlp [80010040], LV [1]); Log query freq. [5] secs. Refresh Interval [1380] Mins, (v1.6.1), 
4584  1528  06/30 06:44:10 ### ProtectDRBkp_OnStart: Not Cancelling 'Protect DR backup' timer as it could be DDB or Index only MA. DrBkpDlp [0], PlatType [6]
4584  cdc   06/30 06:44:11 ### OpenCVDLPService: Warning: DLP is not enabled for this instance.
4584  18dc  06/30 06:44:12 ### GetDLPEnabledInstInfo: SubKeys found [2], Instance count on the machine [1]. DlpEnabledCount [MP:0, DR:0], MPInfo [0]
6396  19f8  06/30 06:44:13 ### Opened Lock vol shared buffer. Opened [1], InstanceId [1]
6396  19f8  06/30 06:44:13 ### CVDLPLockVolWorker::Init, Initialized CVDLP driver
6396  19f8  06/30 06:44:13 ### GetDLPEnabledInstInfo: SubKeys found [2], Instance count on the machine [1]. DlpEnabledCount [MP:0, DR:0], MPInfo [0]
6396  19f8  06/30 06:44:13 ### DLP (MP [0], DR Bkp [0], PlatType 6); LogLvl (Dlp [80010040], LV [1]); Log query freq. [5] secs. Refresh Interval [1380] Mins, (v1.6.1), 
6396  19f8  06/30 06:44:13 ### OpenCVDLPService: Warning: DLP is not enabled for this instance.
4584  193c  06/30 06:45:14 ### GetDLPEnabledInstInfo: SubKeys found [1], Instance count on the machine [1]. DlpEnabledCount [MP:0, DR:0], MPInfo [0]
4464  185c  06/30 06:57:35 ### Opened Lock vol shared buffer. Opened [0], InstanceId [1]
4464  185c  06/30 06:57:35 ### CVDLPLockVolWorker::Init, Initialized CVDLP driver
4464  185c  06/30 06:57:35 ### GetDLPEnabledInstInfo: SubKeys found [2], Instance count on the machine [1]. DlpEnabledCount [MP:0, DR:0], MPInfo [0]
4464  185c  06/30 06:57:35 ### DLP (MP [0], DR Bkp [0], PlatType 6); LogLvl (Dlp [80010040], LV [1]); Log query freq. [5] secs. Refresh Interval [1380] Mins, (v1.6.1), 
4464  185c  06/30 06:57:35 ### ProtectDRBkp_OnStart: Not Cancelling 'Protect DR backup' timer as it could be DDB or Index only MA. DrBkpDlp [0], PlatType [6]
4464  1b74  06/30 06:57:36 ### GetDLPEnabledInstInfo: SubKeys found [2], Instance count on the machine [1]. DlpEnabledCount [MP:0, DR:0], MPInfo [0]
4464  1b90  06/30 06:57:36 ### OpenCVDLPService: Warning: DLP is not enabled for this instance.
7892  1eb8  06/30 06:57:37 ### Opened Lock vol shared buffer. Opened [1], InstanceId [1]
7892  1eb8  06/30 06:57:37 ### CVDLPLockVolWorker::Init, Initialized CVDLP driver
7892  1eb8  06/30 06:57:37 ### GetDLPEnabledInstInfo: SubKeys found [2], Instance count on the machine [1]. DlpEnabledCount [MP:0, DR:0], MPInfo [0]
7892  1eb8  06/30 06:57:37 ### DLP (MP [0], DR Bkp [0], PlatType 6); LogLvl (Dlp [80010040], LV [1]); Log query freq. [5] secs. Refresh Interval [1380] Mins, (v1.6.1), 
7892  1eb8  06/30 06:57:37 ### OpenCVDLPService: Warning: DLP is not enabled for this instance.
