********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : EdgeMonitorHelper                                                           *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

3740  12cc  06/30 06:42:54 ### initializeDbg() - Debug level : 1
3740  12cc  06/30 06:42:54 ### initializeDbg() - Locale ID : 0
3740  12cc  06/30 06:42:54 ### InitializeDebugger() - Log Path For EdgeMonitor : C:\Program Files\Metallic\ContentStore\Log Files
3740  12cc  06/30 06:42:54 ### InitializeDebugger() - Total time for debugger initialization : 0.049233 sec
3740  12cc  06/30 06:43:22 ### initializeDbg() - Debug level : 1
3740  12cc  06/30 06:43:22 ### initializeDbg() - Locale ID : 0
3740  12cc  06/30 06:43:22 ### InitializeDebugger() - Log Path For EdgeMonitor : C:\Program Files\Metallic\ContentStore\Log Files
3740  12cc  06/30 06:43:22 ### InitializeDebugger() - Total time for debugger initialization : 0.048412 sec
3740  12cc  06/30 06:43:29 ### initializeDbg() - Debug level : 1
3740  12cc  06/30 06:43:30 ### initializeDbg() - Locale ID : 0
3740  12cc  06/30 06:43:30 ### InitializeDebugger() - Log Path For EdgeMonitor : C:\Program Files\Metallic\ContentStore\Log Files
3740  12cc  06/30 06:43:30 ### InitializeDebugger() - Total time for debugger initialization : 0.030657 sec
3740  12cc  06/30 06:43:43 ### Cvcl::init() - CVCL: Running in FIPS Mode
3740  12cc  06/30 06:43:47 ### initializeDbg() - Debug level : 1
3740  12cc  06/30 06:43:47 ### initializeDbg() - Locale ID : 0
3740  12cc  06/30 06:43:47 ### InitializeDebugger() - Log Path For EdgeMonitor : C:\Program Files\Metallic\ContentStore\Log Files
3740  12cc  06/30 06:43:47 ### InitializeDebugger() - Total time for debugger initialization : 0.029714 sec
5728  f94   06/30 06:57:26 ### initializeDbg() - Debug level : 1
5728  f94   06/30 06:57:26 ### initializeDbg() - Locale ID : 0
5728  f94   06/30 06:57:26 ### InitializeDebugger() - Log Path For EdgeMonitor : C:\Program Files\Metallic\ContentStore\Log Files
5728  f94   06/30 06:57:26 ### InitializeDebugger() - Total time for debugger initialization : 0.137528 sec
5728  f94   06/30 06:57:28 ### Cvcl::init() - CVCL: Running in FIPS Mode
