********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : GitRestoreCtrl                                                              *
* Commserver : cms01039c1us02:cms01039c1us02.cvmscloud.commvault.com                       *
* Version    : 11.2801.21                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

7224  6d0   06/30 08:51:25 1087963 runController(134) - =======================
7224  764   06/30 08:51:25 1087963 SetupEventConnection() - Connection to EvMgrs is successfull
7224  6d0   06/30 08:51:25 1087963 runController(135) - STARTING Controller
7224  6d0   06/30 08:51:25 1087963 runController(142) - 0:[CVDistributor.exe] 1:[1087963] 2:[1087963] 3:[-j] 4:[1087963] 5:[-pkg] 6:[Git] 7:[-at] 8:[134] 9:[-jt] 10:[1087963:2:1:0:0:57231] 11:[-restore] 12:[-fc] 13:[0:0:0] 14:[-controller] 15:[-phase] 16:[restore] 17:[-numWorkers] 18:[7] 19:[-multinode] 20:[-cn] 21:[sanbgw] 22:[cvshost:SanBGW*sanbgw*8400] 23:[cvsport:51669:0] 24:[cvsmyplatform:2] 25:[cvsremoteplatform:4] 26:[-vm] 27:[Instance001] 
7224  6d0   06/30 08:51:25 1087963 runController(143) - -----------------------
7224  6d0   06/30 08:51:25 1087963 CVRemoteAgentClient::ConnectToServer() - Attaching back to server
7224  6d0   06/30 08:51:25 1087963 Cvcl::init() - CVCL: Running in FIPS Mode
7224  6d0   06/30 08:51:25 1087963 CVRemoteAgentClient::ConnectToServer() - Attached to server
7224  6d0   06/30 08:51:25 1087963 CVDumpAndSweep::CDumpAndSweepRestoreController::SetAdditionalStartupValues(41) - AppNode
7224  6d0   06/30 08:51:26 1087963 CVDC_FileSystem::CFSRestoreController::HandleJobResultDirectorySync(213) - Master StateFile: C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\CV_JobResults\2\0\1087963\DistributedIDAStateFile_1304_1656604284, Master Node: sanbgw
