********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : IndexCacheCleanup                                                           *
* Commserver : cms01039c1us02:cms01039c1us02.cvmscloud.commvault.com                       *
* Version    : 11.2801.21                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

1888  19ec  06/30 06:58:40 ### New thread started for cleaning up Database and Action logs
1888  19ec  06/30 06:58:40 ### Starting Index DB Cleanup
1888  19ec  06/30 06:58:40 ### No Dbs found in CvIdxDB
1888  19ec  06/30 06:58:40 ### [0] Logdirs found in CvIdxLogs
1888  19ec  06/30 06:58:40 ### Unable to do live log cleanup. Error [0x80070003:{IdxCleanup::doLivelogCleanup(369)} + {CQiDirectory::Walk(381)} + {CQiDirectory::Open(106)/SearchPath=[C:\Program Files\Metallic\ContentStore\IndexCache\CvIdxLiveLogs\*]} + {FXFile::CVFindFirstFile(1821)/W32.3.(The system cannot find the path specified. (ERROR_PATH_NOT_FOUND.3))-FindFirstFileW failed, Path=[\\?\C:\Program Files\Metallic\ContentStore\IndexCache\CvIdxLiveLogs\*]}].
1888  19ec  06/30 06:58:40 ### Cleanup thread exiting.
7212  1878  06/30 06:58:41 ### NoPrefix Initializing centralized cleanup for client [sanbgw]
7212  1878  06/30 06:58:41 ### NoPrefix Emergency Cleanup:[false]
7212  1878  06/30 06:58:41 ### isCCSDbEnabled() - Use CCSDb Enabled [0] IsCloudLaptop [0] IsFSCoreLaptop [0]
7212  1878  06/30 06:58:42 ### NoPrefix Index Retention Days [15]
7212  1878  06/30 06:58:42 ### NoPrefix Index cleanup m_percent is [90]
7212  1878  06/30 06:58:42 ### NoPrefix successfully received [5113] application prune times
7212  1878  06/30 06:58:42 ### NoPrefix Page cache cleanup frequency [14] days
7212  1878  06/30 06:58:42 ### NoPrefix Index cache cleanup completed
