********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : IndexingService                                                             *
* Commserver : cms01039c1us02:cms01039c1us02.cvmscloud.commvault.com                       *
* Version    : 11.2801.21                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

7212  2dc   06/30 06:58:41 ### Cvcl::init() - CVCL: Running in FIPS Mode
7212  2dc   06/30 06:58:41 ### CCvNetworkServer::CCvNetworkServer() - CvNetworkServer is using Asynchronous IO model
7212  2dc   06/30 06:58:41 ### *************Starting Indexing Server IndexingService_cleanup*************
7212  2dc   06/30 06:58:41 ### IndexingService idle time is set to 10800 seconds
7212  2dc   06/30 06:58:41 ### Thread pool monitor interval [300] seconds, Refresh interval [60] seconds
7212  1460  06/30 06:58:41 ### TIMEOUTHANDLER Idle timeout set to 10800 seconds
7212  117c  06/30 06:58:41 ### CCvIOCPServer::Start() - Launching 2 IOCP worker threads. To override, use session/IndexingService_IOCPThreads DWORD registry entry
7212  1b28  06/30 06:58:41 ### CVDTerminationHandler::_WaitForCVDTermination() - Waiting for CVD Termination
7212  117c  06/30 06:58:41 ### CCvNetworkServer::SelectData() - No port is specifed by user. Check if saved port can be reused
7212  117c  06/30 06:58:41 ### CCvNetworkServer::SelectData() - Listening on port IndexingService_cleanup/51069/0
7212  117c  06/30 06:58:41 ### NoPrefix CVNetworkServer is ready
7212  1878  06/30 06:58:41 ### ProcessRequestXML Received index cache cleanup request for client [sanbgw]
7212  784   06/30 07:03:41 ### TPool [IndexingService]. Ser# [0] Tot [2], Pend [1], Comp [1], Max Par [2], Avg Work Time [1.04 s], Avg Wait Time [909.80 us]
7212  784   06/30 07:03:41 ### TPool [IOCPServerPool_IndexingService_cleanup]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [2], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:03:41 ### TPool [IndexingService_cleanup]. Ser# [0] Tot [2], Pend [0], Comp [2], Max Par [1], Avg Work Time [130.20 us], Avg Wait Time [220.15 us]
7212  784   06/30 07:03:41 ### TPool [IndexingService_cleanup]. Ser# [1] Tot [3], Pend [0], Comp [3], Max Par [1], Avg Work Time [478.73 us], Avg Wait Time [280.60 us]
7212  784   06/30 07:08:41 ### TPool [IndexingService]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:08:41 ### TPool [IOCPServerPool_IndexingService_cleanup]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:13:41 ### TPool [IndexingService]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:13:41 ### TPool [IOCPServerPool_IndexingService_cleanup]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:18:41 ### TPool [IndexingService]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:18:41 ### TPool [IOCPServerPool_IndexingService_cleanup]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:23:41 ### TPool [IndexingService]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:23:41 ### TPool [IOCPServerPool_IndexingService_cleanup]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:28:41 ### TPool [IndexingService]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:28:41 ### TPool [IOCPServerPool_IndexingService_cleanup]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:33:41 ### TPool [IndexingService]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:33:41 ### TPool [IOCPServerPool_IndexingService_cleanup]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:38:41 ### TPool [IndexingService]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:38:42 ### TPool [IOCPServerPool_IndexingService_cleanup]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
7212  784   06/30 07:43:42 ### TPool [IndexingService]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
