********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : LogManager                                                                  *
* Commserver : cms01039c1us02:cms01039c1us02.cvmscloud.commvault.com                       *
* Version    : 11.2801.21                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

1888  1b74  06/30 06:58:38 ### main() - Initialized On Demand Server with service name [CVODS_logmanager_sanbgw_1]
1888  1b74  06/30 06:58:39 ### Cvcl::init() - CVCL: Running in FIPS Mode
1888  1b74  06/30 06:58:39 ### main() - Loading library at registry Library\sLNLogManager
1888  1b74  06/30 06:58:39 ### main() - Calling entry point function GetOnDemandSvcLibInstance at registry Library\sLPODS
1888  1b74  06/30 06:58:39 ### Thread pool monitor interval [300] seconds, Refresh interval [60] seconds
1888  1b74  06/30 06:58:39 ### Idx DB path [C:\Program Files\Metallic\ContentStore\IndexCache\CvIdxDB]
1888  1b74  06/30 06:58:39 ### main() - Initialization successful.Created guid [2195EB7D-0815-4887-A2BD-4B2FE6430471]
1888  1b74  06/30 06:58:39 ### CCvNetworkServer::CCvNetworkServer() - CvNetworkServer is using Asynchronous IO model
1888  1b74  06/30 06:58:39 ### main() - *************Starting On Demand Server CVODS_logmanager_sanbgw_1*************
1888  1b74  06/30 06:58:39 ### CVWaitableTimer::SetTimer() -  Inactivity Timer created successfully
1888  1b74  06/30 06:58:40 ### main() - On Demand Service Inactivity timeout set to [1200] secs
1888  1f18  06/30 06:58:40 ### CVDTerminationHandler::_WaitForCVDTermination() - Waiting for CVD Termination
1888  3cc   06/30 06:58:40 ### CCvIOCPServer::Start() - Launching 2 IOCP worker threads. To override, use session/LogManager_IOCPThreads DWORD registry entry
1888  3cc   06/30 06:58:40 ### CCvNetworkServer::SelectData() - No port is specifed by user. Check if saved port can be reused
1888  3cc   06/30 06:58:40 ### CCvNetworkServer::SelectData() - Listening on port CVODS_logmanager_sanbgw_1/51053/0
1888  3cc   06/30 06:58:40 ### OnDemandSvcCallbackXML() - On Demand Service CVODS_logmanager_sanbgw_1 launched and CvNetworkServer is ready
1888  1a1c  06/30 06:58:40 ### Received IndexCache Cleanup request. Starting new thread.
1888  19e8  06/30 07:03:39 ### TPool [LogManager_UploadHandler]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [1], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
1888  19e8  06/30 07:03:39 ### TPool [LogManagerSvcInterface_ConfigLoader]. Ser# [0] Tot [2], Pend [0], Comp [2], Max Par [1], Avg Work Time [191.23 ms], Avg Wait Time [59.65 us]
1888  19e8  06/30 07:03:39 ### TPool [IOCPServerPool_CVODS_logmanager_sanbgw_1]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [2], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
1888  19e8  06/30 07:03:39 ### TPool [CVODS_logmanager_sanbgw_1]. Ser# [0] Tot [2], Pend [0], Comp [2], Max Par [1], Avg Work Time [41.65 us], Avg Wait Time [320.85 us]
1888  19e8  06/30 07:03:39 ### TPool [CVODS_logmanager_sanbgw_1]. Ser# [1] Tot [4], Pend [0], Comp [4], Max Par [1], Avg Work Time [22.39 ms], Avg Wait Time [203.80 us]
1888  19e8  06/30 07:08:39 ### TPool [LogManager_UploadHandler]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
1888  19e8  06/30 07:08:39 ### TPool [IOCPServerPool_CVODS_logmanager_sanbgw_1]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
