********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : PerformanceMetrics                                                          *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4584  1194  06/30 06:44:10 ### Context="cvd.exe" Module="ThreadPool" Instance="CVDMessageHandler" Type="SnapShot" BusyThreads="0" MaxThreads="150" ReadyTask="0" TaskList="0" WorkerThreads="2" 
4584  1194  06/30 06:44:10 ### Context="cvd.exe" Module="ThreadPool" Instance="CVDMessageHandler" Type="Delta" TaskAdded="0" TaskDone="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="NetworkServer" Instance="CvMountdServer" Type="SnapShot" ConnectionCount="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="NetworkServer" Instance="CvMountdServer" Type="Delta" ConnectionAdded="0" ConnectionRemoved="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="NetworkServer" Instance="DataServer" Type="SnapShot" ConnectionCount="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="NetworkServer" Instance="DataServer" Type="Delta" ConnectionAdded="0" ConnectionRemoved="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMASvcThPool" Type="SnapShot" BusyThreads="0" MaxThreads="50" ReadyTask="0" TaskList="0" WorkerThreads="1" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMASvcThPool" Type="Delta" TaskAdded="0" TaskDone="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMA_AuxiliaryThreadPool" Type="SnapShot" BusyThreads="0" MaxThreads="10" ReadyTask="0" TaskList="0" WorkerThreads="1" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMA_AuxiliaryThreadPool" Type="Delta" TaskAdded="0" TaskDone="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMA_Indexing" Type="SnapShot" BusyThreads="0" MaxThreads="10" ReadyTask="0" TaskList="0" WorkerThreads="1" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMA_Indexing" Type="Delta" TaskAdded="0" TaskDone="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMA_IndexingCat" Type="SnapShot" BusyThreads="0" MaxThreads="100" ReadyTask="0" TaskList="0" WorkerThreads="1" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMA_IndexingCat" Type="Delta" TaskAdded="0" TaskDone="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMA_IndexingCleanup" Type="SnapShot" BusyThreads="0" MaxThreads="1" ReadyTask="0" TaskList="0" WorkerThreads="1" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMA_IndexingCleanup" Type="Delta" TaskAdded="0" TaskDone="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMA_IndexingService" Type="SnapShot" BusyThreads="0" MaxThreads="50" ReadyTask="0" TaskList="0" WorkerThreads="1" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="CVMA_IndexingService" Type="Delta" TaskAdded="0" TaskDone="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="DedupPrunerThreadPoolCloud" Type="SnapShot" BusyThreads="0" MaxThreads="10" ReadyTask="0" TaskList="0" WorkerThreads="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="DedupPrunerThreadPoolCloud" Type="Delta" TaskAdded="0" TaskDone="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="DedupPrunerThreadPoolDisk" Type="SnapShot" BusyThreads="0" MaxThreads="4" ReadyTask="0" TaskList="0" WorkerThreads="0" 
6396  19c0  06/30 06:44:13 ### Context="CVMountd.exe" Module="ThreadPool" Instance="DedupPrunerThreadPoolDisk" Type="Delta" TaskAdded="0" TaskDone="0" 
6816  1ad8  06/30 06:44:14 ### Context="BlrSvc.exe" Module="NetworkServer" Instance="blr_gui_msgs_client" Type="SnapShot" ConnectionCount="0" 
6816  1ad8  06/30 06:44:14 ### Context="BlrSvc.exe" Module="NetworkServer" Instance="blr_gui_msgs_client" Type="Delta" ConnectionAdded="0" ConnectionRemoved="0" 
