********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : SIDBPrune                                                                   *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

6396  1990  06/30 06:44:13 ### PRNCTLR GetThreadPoolSize:4186 Found [2] processor cores. Setting pruning thread pool size to [2] for [Disk] media.
6396  1990  06/30 06:44:13 ### PRNCTLR GetThreadPoolSize:4186 Found [2] processor cores. Setting pruning thread pool size to [4] for [Cloud] media.
7892  df8   06/30 06:57:37 ### PRNCTLR GetThreadPoolSize:4186 Found [2] processor cores. Setting pruning thread pool size to [2] for [Disk] media.
7892  df8   06/30 06:57:37 ### PRNCTLR GetThreadPoolSize:4186 Found [2] processor cores. Setting pruning thread pool size to [4] for [Cloud] media.
