********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : SyncRestore                                                                 *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4584  1910  06/30 06:44:12 ### EdgeSyncRestoreAdminThread::Run(534) - Edge Sync restore thread started with polling interval [5] minutes
4584  1910  06/30 06:44:12 ### EdgeSyncRestoreAdminThread::Run(562) - No configuration found, will wait untill one is created
4464  1a38  06/30 06:57:36 ### EdgeSyncRestoreAdminThread::Run(534) - Edge Sync restore thread started with polling interval [5] minutes
4464  1a38  06/30 06:57:36 ### EdgeSyncRestoreAdminThread::Run(562) - No configuration found, will wait untill one is created
