*************************************************************************************************
* Physical Machine : SANBGW                                                                     *
* Hostname         : SanBGW                                                                     *
* Module           : InstallUpdates/RemoveUpdates                                               *
* Version          : 11.2801.0                                                                  *
* OS Type          : Microsoft Windows Server 2012 Server 4.0  (Build 9200)                     *
*************************************************************************************************
4484   3784   06/30 06:40:19 ###      #####################################################################
4484   3784   06/30 06:40:19 ###      ##                   InstallUpdates.exe STARTED                    ##
4484   3784   06/30 06:40:19 ###      ##                     Version 11.2801.1000.67                     ##
4484   3784   06/30 06:40:19 ###      #####################################################################
4484   3784   06/30 06:40:19 ###      Operating System: Microsoft Windows Server 2012 Server 4.0  (Build 9200) 
4484   3784   06/30 06:40:19 ###      Compiled for x64
4484   3784   06/30 06:40:19 ###      Cannot load xml file: C:\Program Files\Metallic\ContentStore\\Base\OEM\\OEMInfo.xml with hr =1
4484   3784   06/30 06:40:19 ###      Reading OEM ID...OEM is 119
4484   3784   06/30 06:40:19 ###      InstallUpdates.exe is invoked from folder [C:\Program Files\Metallic\installer\BinaryPayload\LooseUpdates\]
4484   3784   06/30 06:40:19 ###      Command Line: -doNotUpdateDB -nostartsvc -silent -vm Instance001 -delayedreboot -ignorePendingFileOp -galaxyinstall -tolerateMissingReg -binaryOnly -earlyInstall    -cvinstaller 
4484   3784   06/30 06:40:19 ###      The CommServe database will not be updated with the patch state
4484   3784   06/30 06:40:19 ###      InstallUpdates would ignore pending file operations for this instance ('-ignorePendingFileOp' command line option)
4484   3784   06/30 06:40:19 ###      Intersecting diagnostic updates will be automatically uninstalled during package install.
4484   3784   06/30 06:40:19 ###      Tolerate Missing Registry (physical-machine-only) mode is in effect (implies -binaryOnly).
4484   3784   06/30 06:40:19 ###      InstallUpdates is called in preInstall phase. Updates for a few packages may not be installed
4484   3784   06/30 06:40:19 ###      Binary Only mode in effect; no DB updates will be installed
4484   3784   06/30 06:40:19 ###      Machine: SANBGW
4484   3784   06/30 06:40:19 ###      This is NOT a cluster machine
4484   3784   06/30 06:40:19 ###      Client: sanbgw, Host: SanBGW
4484   3784   06/30 06:40:19 ###      Time: 1656596419, TimeStamp: 0x00007FF62E2A2860, Size: 8
