********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : clRestore                                                                   *
* Commserver : cms01039c1us02:cms01039c1us02.cvmscloud.commvault.com                       *
* Version    : 11.2801.21                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

7096  1a60  06/30 08:51:29 ### FclRestorePrivate::FclRestorePrivate(1288) - Reg Key [nRestoreMediaCorruptionReportCount] is set to value [10]
5672  162c  06/30 08:51:29 ### FclRestorePrivate::FclRestorePrivate(1288) - Reg Key [nRestoreMediaCorruptionReportCount] is set to value [10]
7096  1a60  06/30 08:51:30 ### Cvcl::init() - CVCL: Running in FIPS Mode
5672  162c  06/30 08:51:30 ### Cvcl::init() - CVCL: Running in FIPS Mode
7144  1d68  06/30 08:51:30 ### FclRestorePrivate::FclRestorePrivate(1288) - Reg Key [nRestoreMediaCorruptionReportCount] is set to value [10]
5928  3a0   06/30 08:51:30 ### FclRestorePrivate::FclRestorePrivate(1288) - Reg Key [nRestoreMediaCorruptionReportCount] is set to value [10]
7144  1d68  06/30 08:51:30 ### Cvcl::init() - CVCL: Running in FIPS Mode
7096  1a60  06/30 08:51:30 ### FclRestore::initialize2() - Received message FSR_MSG_INIT_DATA
3864  7ac   06/30 08:51:30 ### FclRestorePrivate::FclRestorePrivate(1288) - Reg Key [nRestoreMediaCorruptionReportCount] is set to value [10]
7096  1a60  06/30 08:51:30 ### CSyncRestorePathMapper::InitSyncRestore(299) - JobID=[1087963] is not a SYNC_RESTORE
7096  1a60  06/30 08:51:30 ### FclRestorePrivate::ParseInitDataReservedString(1949) - This is a distributed restore
7096  1a60  06/30 08:51:30 1087963 Init() - Initializing job control [token=1087963:2:1:0:0:57231,cn=sanbgw], serverName [cms01039c1us02.cvmscloud.commvault.com], ControlFlag [4], Job Id [1087963]
5928  3a0   06/30 08:51:30 ### Cvcl::init() - CVCL: Running in FIPS Mode
7096  1a60  06/30 08:51:30 1087963 CVJobCtrlLog::registerProcess(): successfully created file [C:\Program Files\Metallic\ContentStore\Base\JobControl\7.096]
7096  1a60  06/30 08:51:30 1087963 JM Client  CVJobClient::initialize(): Got remote host [cms01039c1us02.cvmscloud.commvault.com].
3864  7ac   06/30 08:51:30 ### Cvcl::init() - CVCL: Running in FIPS Mode
7096  1a60  06/30 08:51:30 1087963 FclRestore::initialize2() - Skip and continue on seek Failure option NOT selected, restore would fail if seek failures happen.
7096  1a60  06/30 08:51:31 1087963 FclRestore::initialize2() - No user id found in the registry, VMName=[sanbgw], Trying getting it from the CS
5672  162c  06/30 08:51:31 ### FclRestore::initialize2() - Received message FSR_MSG_INIT_DATA
7096  1a60  06/30 08:51:31 1087963 CVArchive::Construct() - Constructing CVArchive Object. This=0000020AF092D7F0
7096  1a60  06/30 08:51:31 1087963 CVArchive::Construct() - Enable CVArchive Big Buffer [true] [perf-update interval 600 seconds]
5672  162c  06/30 08:51:31 ### CSyncRestorePathMapper::InitSyncRestore(299) - JobID=[1087963] is not a SYNC_RESTORE
5672  162c  06/30 08:51:31 ### FclRestorePrivate::ParseInitDataReservedString(1949) - This is a distributed restore
5672  162c  06/30 08:51:31 1087963 Init() - Initializing job control [token=1087963:2:1:0:0:57231,cn=sanbgw], serverName [cms01039c1us02.cvmscloud.commvault.com], ControlFlag [4], Job Id [1087963]
7096  1a60  06/30 08:51:31 1087963 FclRestore::initialize2() - GUI progress updates will be sent every [300] secs
7096  1a60  06/30 08:51:31 1087963 FclRestore::initialize2() - Keep Alive Messages will be sent every [5] minutes
7096  1a60  06/30 08:51:31 1087963 FclRestore::initialize2() - Seek Marker will be sent on every [4096] msg, Allowed=[8192]
