********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : cvd                                                                         *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4584  74c   06/30 06:44:07 ### 
4584  74c   06/30 06:44:07 ### 
4584  74c   06/30 06:44:07 ### -----------------------------------------------------
4584  74c   06/30 06:44:07 ### -------------------- CVD STARTED --------------------
4584  74c   06/30 06:44:07 ### -----------------------------------------------------
4584  74c   06/30 06:44:07 ### Starting the loader thread
4584  ba0   06/30 06:44:07 ### Successfully loaded CVDatapipe.dll
4584  74c   06/30 06:44:07 ### Virtual Machine is Instance001
4584  74c   06/30 06:44:07 ### [CVD        ] Registering CVD as Alive
4584  74c   06/30 06:44:07 ### [CVD        ] CVD Alive Mutex Name is Global\CVDALIVE-Instance001
4584  74c   06/30 06:44:07 ### Starting the initialization thread
4584  c68   06/30 06:44:07 ### [CVD        ] Physical host name [SanBGW]
4584  c68   06/30 06:44:07 ### [CVD        ] Writing QiNetixVM File
4584  c68   06/30 06:44:08 ### [CVD        ] HoldArea = C:\Program Files\Metallic\ContentStore\iDataAgent\FileSystemAgent\HoldArea
4584  c68   06/30 06:44:08 ### [CVD        ] Hold Area check done.
4584  c68   06/30 06:44:08 ### CVMDiskInfo::GetVDDKInstallPath() - Using vStorage VDDK from [C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602] version [6.0.2 build-3566099]
4584  c68   06/30 06:44:09 ### CVMDiskInfo::LoadVDDKLibrary() - Successfully loaded VDDK Lib (libeay32.dll) from C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602\bin\libeay32.dll
